Cert ID,Brand,Model,Product Type,Standard,Standard Version,Model Version,Release Year,Testing Laboratory,Test Date,Product Link,Manual Link,Picture 1,Picture 2,Manufacturer Email
approved_gear_1,Slacktivity,Redtube Type A,Webbing,ISA:41:A,1.0,1,2018,"Siebert Consulting, Vienna, Austria",01.2020,https://www.slacktivity.com/redtube-30m-200m,https://slacktivity.ch/wp-content/uploads/2021/03/Manual-EN-Highline-Webbing-redTube-A-V1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_redTube_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_redTube_1_02.jpg,info@slacktivity.ch
approved_gear_2,Slacktivity,Redtube Type A - Sewn Loops,Webbing - Sewn Loop,ISA:41,1.0,1,2018,"Siebert Consulting, Vienna, Austria",01.2020,https://www.slacktivity.com/redtube-30m-200m,https://slacktivity.ch/wp-content/uploads/2021/03/Manual-EN-Highline-Webbing-redTube-A-V1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_redTube_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_redTube_1_02.jpg,info@slacktivity.ch
approved_gear_3,Slacktivity,HighlineRing,Leashring,ISA:37,1.0,1,2019,not needed,01.2020,https://www.slacktivity.com/highlinering,httpa://slacktivity.ch/wp-content/uploads/2021/03/Manual-EN-Highline-Leash-V1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_HighlineRing_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_HighlineRing_1_02.jpg,info@slacktivity.ch
approved_gear_4,Slacktivity,HighlineLeash,Leash Teather,ISA:37,1.0,1,2019,"Siebert Consulting, Vienna, Austria",01.2020,https://slacktivity.com/shop/highline-leash/,httpa://slacktivity.ch/wp-content/uploads/2021/03/Manual-EN-Highline-Leash-V1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_HighlineLeash_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_HighlineLeash_1_02.jpg,info@slacktivity.ch
approved_gear_6,Slacktivity,Seahorse,Webbing Locker,ISA:51,1.0,1.5,2019,"Siebert Consulting, Vienna, Austria",06.2020,https://www.slacktivity.com/seahorse-dp,http://slacktivity.ch/wp-content/uploads/2021/03/Manual-EN-Highline-Weblock-seaHorse-1-5-V4.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_seaHorse_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_seaHorse_1_02.jpg,info@slacktivity.ch
approved_gear_8,Slacktivity,Pinktube,Webbing,ISA:41:C,1.0,1,2020,"Siebert Consulting, Vienna, Austria",04.2020,https://slacktivity.com/shop/pinktube-slackline-tubular-webbing/,https://slacktivity.com/wp-content/uploads/2022/02/Manual-EN-HighlineWebbing-pinkTube-A-V1-1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Pinktube_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Pinktube_1_02.jpg,info@slacktivity.ch
approved_gear_14,Slacktivity,LSD,Webbing,ISA:41:C,2023,1,2023,"Siebert Consulting, Vienna, Austria",2022,https://slacktivity.com/shop/lsdtube-webbing/,https://slacktivity.com/wp-content/uploads/2022/06/Manual-EN-Highline-Webbing-LSDTube-V1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_LSD_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_LSD_1_02.jpg,info@slacktivity.ch
approved_gear_15,Slacktivity,LSD - Sewn Loops,Webbing - Sewn Loop,ISA:41,2023,1,2023,"Siebert Consulting, Vienna, Austria",2022,https://slacktivity.com/shop/lsdtube-webbing/,https://slacktivity.com/wp-content/uploads/2022/06/Manual-EN-Highline-Webbing-LSDTube-V1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_LSD_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_LSD_1_02.jpg,info@slacktivity.ch
approved_gear_16,Slacktivity,LSD - Intermittent Connection,Webbing - Intermittent Connection,ISA:41,2023,1,2023,"Siebert Consulting, Vienna, Austria",2022,https://slacktivity.com/shop/lsdtube-webbing/,https://slacktivity.com/wp-content/uploads/2022/06/Manual-EN-Highline-Webbing-LSDTube-V1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_LSD_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_LSD_1_02.jpg,info@slacktivity.ch
approved_gear_17,Slacktivity,Marathon,Webbing,ISA:41:A+,2023,1,2023,"Siebert Consulting, Vienna, Austria",2022,https://slacktivity.com/shop/marathon-1-inch-slackline/,https://slacktivity.com/wp-content/uploads/2023/05/Manual-EN-Highline-Webbing-Marathon-V1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Marathon_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Marathon_1_02.jpg,info@slacktivity.ch
approved_gear_18,Slacktivity,Marathon - Sewn Loops,Webbing - Sewn Loop,ISA:41,2023,1,2023,"Siebert Consulting, Vienna, Austria",2022,https://slacktivity.com/shop/marathon-1-inch-slackline/,https://slacktivity.com/wp-content/uploads/2023/05/Manual-EN-Highline-Webbing-Marathon-V1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Marathon_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Marathon_1_02.jpg,info@slacktivity.ch
approved_gear_19,Slacktivity,Marathon - Intermittent Connection,Webbing - Intermittent Connection,ISA:41,2023,1,2023,"Siebert Consulting, Vienna, Austria",2022,https://slacktivity.com/shop/marathon-1-inch-slackline/,https://slacktivity.com/wp-content/uploads/2023/05/Manual-EN-Highline-Webbing-Marathon-V1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Marathon_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Marathon_1_02.jpg,info@slacktivity.ch
approved_gear_20,Slacktivity,Y2K,Webbing,ISA:41:A,2023,1,2023,"Siebert Consulting, Vienna, Austria",2022,https://slacktivity.com/shop/y2k-high-tech-slackline-webbing/,https://slacktivity.com/wp-content/uploads/2023/05/Manual-EN-Highline-Webbing-Y2K-V1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Y2K_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Y2K_1_02.jpg,info@slacktivity.ch
approved_gear_21,Slacktivity,Y2K - Sewn Loops,Webbing - Sewn Loop,ISA:41:A,2023,1,2023,"Siebert Consulting, Vienna, Austria",2022,https://slacktivity.com/shop/y2k-high-tech-slackline-webbing/,https://slacktivity.com/wp-content/uploads/2023/05/Manual-EN-Highline-Webbing-Y2K-V1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Y2K_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Y2K_1_02.jpg,info@slacktivity.ch
approved_gear_22,Slacktivity,Y2K - Intermittent Connection,Webbing - Intermittent Connection,ISA:41:A,2023,1,2023,"Siebert Consulting, Vienna, Austria",2022,https://slacktivity.com/shop/y2k-high-tech-slackline-webbing/,https://slacktivity.com/wp-content/uploads/2023/05/Manual-EN-Highline-Webbing-Y2K-V1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Y2K_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Y2K_1_02.jpg,info@slacktivity.ch
approved_gear_23,Slacktivity,Pinktube,Webbing,ISA:41:C,2020,1,2023,"Siebert Consulting, Vienna, Austria",2020,https://slacktivity.com/shop/pinktube-slackline-tubular-webbing/,https://slacktivity.com/wp-content/uploads/2022/02/Manual-EN-HighlineWebbing-pinkTube-A-V1-1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Pinktube_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Pinktube_1_02.jpg,info@slacktivity.ch
approved_gear_24,Slacktivity,Pinktube - Sewn Loops,Webbing - Sewn Loop,ISA:41,2020,1,2023,"Siebert Consulting, Vienna, Austria",2020,https://slacktivity.com/shop/pinktube-slackline-tubular-webbing/,https://slacktivity.com/wp-content/uploads/2022/02/Manual-EN-HighlineWebbing-pinkTube-A-V1-1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Pinktube_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Pinktube_1_02.jpg,info@slacktivity.ch
approved_gear_25,Slacktivity,Pinktube - Intermittent Connection,Webbing - Intermittent Connection,ISA:41,2020,1,2023,"Siebert Consulting, Vienna, Austria",2020,https://slacktivity.com/shop/pinktube-slackline-tubular-webbing/,https://slacktivity.com/wp-content/uploads/2022/02/Manual-EN-HighlineWebbing-pinkTube-A-V1-1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Pinktube_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Pinktube_1_02.jpg,info@slacktivity.ch
approved_gear_26,Slacktivity,Pinktube - Intermittent Connection,Webbing - Intermittent Connection,ISA:41,2020,1,2023,"Siebert Consulting, Vienna, Austria",2020,https://slacktivity.com/shop/pinktube-slackline-tubular-webbing/,https://slacktivity.com/wp-content/uploads/2022/02/Manual-EN-HighlineWebbing-pinkTube-A-V1-1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Pinktube_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/Slacktivity_Pinktube_1_02.jpg,info@slacktivity.ch
approved_gear_27,Slacktivity,KingPin - Aluminium Pushpin Shackle,Connector,ISA:52,2023,2,2023,"Siebert Consulting, Vienna, Austria",2023,https://slacktivity.com/shop/kingpin-aluminium-shackle/,https://slacktivity.com/wp-content/uploads/2021/02/Manual-EN-KingPin-V1.pdf,https://www.slacklineinternational.org/wp-content/uploads/2024/02/Slacktivity_KingPinShackle_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2024/02/Slacktivity_KingPinShackle_1_02.jpg,info@slacktivity.ch
approved_gear_9,raed Slacklines,HALO leash ring,Leashring,ISA:37,1.0,1,2021,"BLOCK Materialprüfungsgesellschaft, Berlin, Germany",04.2021,https://raed-slacklines.com/halo-titanium-highline-leash-ring,https://raed-slacklines.com/media/attachment/file/r/a/raed-leash-manual.pdf,https://www.slacklineinternational.org/wp-content/uploads/2023/07/raed_halo_1_01.jpg,https://www.slacklineinternational.org/wp-content/uploads/2023/07/raed_halo_1_02.jpg,info@raed-slacklines.com
approved_gear_10,raed Slacklines,PRO leash,Leash,ISA:37,1.0,1,2021,"BLOCK Materialprüfungsgesellschaft, Berlin, Germany",04.2021,https://raed-slacklines.com/pro-leash-set,https://raed-slacklines.com/media/attachment/file/r/a/raed-leash-manual.pdf,https://raed-slacklines.com/media/catalog/product/cache/80d417dc14c830b3202247f531338ea1/r/a/raed-pro-highline-leash-set_1.jpg,,info@raed-slacklines.com
approved_gear_11,raed Slacklines,ALPINE leash,Leash,ISA:37,1.0,1,2021,"BLOCK Materialprüfungsgesellschaft, Berlin, Germany",04.2021,https://raed-slacklines.com/alpine-leash-set,https://raed-slacklines.com/media/attachment/file/r/a/raed-leash-manual.pdf,https://raed-slacklines.com/media/catalog/product/cache/80d417dc14c830b3202247f531338ea1/r/a/raed-alpine-highline-leash-set.jpg,,info@raed-slacklines.com
